date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:49:00	273/273	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2002%20Dec%202024%2020:49:00%20GMT	https://blankc2.fun/japidi/dowodnew/chrome-extension_/dacdinoicboceafielngnmjjplncljhj/content.html	C:/Users/shibu/Desktop/PPs/`1221``12/blankc2.fun/japidi/dowodnew/chrome-extension_/dacdinoicboceafielngnmjjplncljhj/content.html	(from https://blankc2.fun/japidi/dowodnew/home.html)
21:49:00	854/854	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22356-6271b4544c900%22	https://blankc2.fun/japidi/dowodnew/ab013_notifications.svg	C:/Users/shibu/Desktop/PPs/`1221``12/blankc2.fun/japidi/dowodnew/ab013_notifications.svg	(from https://blankc2.fun/japidi/dowodnew/home.html)
21:49:00	10641/10641	---MCZ	200	added ('OK')	text/html	date:Sun,%2017%20Nov%202024%2012:52:20%20GMT	https://blankc2.fun/japidi/dowodnew/documents.html	C:/Users/shibu/Desktop/PPs/`1221``12/blankc2.fun/japidi/dowodnew/documents.html	(from https://blankc2.fun/japidi/dowodnew/home.html)
21:49:01	20411/20411	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20Nov%202024%2016:57:08%20GMT	https://blankc2.fun/japidi/dowodnew/dowodnowy.html	C:/Users/shibu/Desktop/PPs/`1221``12/blankc2.fun/japidi/dowodnew/dowodnowy.html	(from https://blankc2.fun/japidi/dowodnew/home.html)
21:49:01	778/778	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2230a-6271b4544c900%22	https://blankc2.fun/japidi/dowodnew/coi_common_ui_ic_document_id.svg	C:/Users/shibu/Desktop/PPs/`1221``12/blankc2.fun/japidi/dowodnew/coi_common_ui_ic_document_id.svg	(from https://blankc2.fun/japidi/dowodnew/home.html)
21:49:01	111408/111408	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221b330-6271b4544c900%22	https://blankc2.fun/japidi/dowodnew/CHANGE_IT_home_mid_card.svg	C:/Users/shibu/Desktop/PPs/`1221``12/blankc2.fun/japidi/dowodnew/CHANGE_IT_home_mid_card.svg	(from https://blankc2.fun/japidi/dowodnew/home.html)
21:49:01	233/233	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22e9-6271b4544c900%22	https://blankc2.fun/japidi/dowodnew/ic_arrow_forward_Dgray.svg	C:/Users/shibu/Desktop/PPs/`1221``12/blankc2.fun/japidi/dowodnew/ic_arrow_forward_Dgray.svg	(from https://blankc2.fun/japidi/dowodnew/home.html)
21:49:01	12327/12327	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20Nov%202024%2016:57:46%20GMT	https://blankc2.fun/japidi/dowodnew/legitymacja.html	C:/Users/shibu/Desktop/PPs/`1221``12/blankc2.fun/japidi/dowodnew/legitymacja.html	(from https://blankc2.fun/japidi/dowodnew/home.html)
21:49:02	53252/53252	---M--	200	added ('OK')	image/png	etag:%22d004-6272ec9bf4bc0%22	https://blankc2.fun/japidi/dowodnew/CHANGE_IsT_legit_mid_card.png	C:/Users/shibu/Desktop/PPs/`1221``12/blankc2.fun/japidi/dowodnew/CHANGE_IsT_legit_mid_card.png	(from https://blankc2.fun/japidi/dowodnew/home.html)
21:49:02	15864/15864	---MCZ	200	added ('OK')	text/html	date:Sun,%2017%20Nov%202024%2012:52:21%20GMT	https://blankc2.fun/japidi/dowodnew/services.html	C:/Users/shibu/Desktop/PPs/`1221``12/blankc2.fun/japidi/dowodnew/services.html	(from https://blankc2.fun/japidi/dowodnew/home.html)
21:49:02	2621/2621	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22a3d-6271b4544c900%22	https://blankc2.fun/japidi/dowodnew/da035_bezpiecznie_w_sieci.svg	C:/Users/shibu/Desktop/PPs/`1221``12/blankc2.fun/japidi/dowodnew/da035_bezpiecznie_w_sieci.svg	(from https://blankc2.fun/japidi/dowodnew/home.html)
21:49:02	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2002%20Dec%202024%2020:49:02%20GMT	https://imgur.com/RNvnneR.png	C:/Users/shibu/Desktop/PPs/`1221``12/imgur.com/RNvnneR.1b.delayed	(from https://blankc2.fun/japidi/dowodnew/home.html)
21:49:03	890/890	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2237a-6271b4544c900%22	https://blankc2.fun/japidi/dowodnew/da008_zastrzez_pesel.svg	C:/Users/shibu/Desktop/PPs/`1221``12/blankc2.fun/japidi/dowodnew/da008_zastrzez_pesel.svg	(from https://blankc2.fun/japidi/dowodnew/home.html)
21:49:03	1601/1601	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22641-6271b4544c900%22	https://blankc2.fun/japidi/dowodnew/da031_mbiznes.svg	C:/Users/shibu/Desktop/PPs/`1221``12/blankc2.fun/japidi/dowodnew/da031_mbiznes.svg	(from https://blankc2.fun/japidi/dowodnew/home.html)
21:49:03	1796/1796	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22704-6271b4544c900%22	https://blankc2.fun/japidi/dowodnew/da001_punkty_karne.svg	C:/Users/shibu/Desktop/PPs/`1221``12/blankc2.fun/japidi/dowodnew/da001_punkty_karne.svg	(from https://blankc2.fun/japidi/dowodnew/home.html)
21:49:03	1012/1012	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%223f4-6271b4544c900%22	https://blankc2.fun/japidi/dowodnew/da025_ticket.svg	C:/Users/shibu/Desktop/PPs/`1221``12/blankc2.fun/japidi/dowodnew/da025_ticket.svg	(from https://blankc2.fun/japidi/dowodnew/home.html)
21:49:04	375/375	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22177-6271b4544c900%22	https://blankc2.fun/japidi/dowodnew/b001_home.svg	C:/Users/shibu/Desktop/PPs/`1221``12/blankc2.fun/japidi/dowodnew/b001_home.svg	(from https://blankc2.fun/japidi/dowodnew/home.html)
21:49:04	694/694	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222b6-6271b4544c900%22	https://blankc2.fun/japidi/dowodnew/ad005_framed_person.svg	C:/Users/shibu/Desktop/PPs/`1221``12/blankc2.fun/japidi/dowodnew/ad005_framed_person.svg	(from https://blankc2.fun/japidi/dowodnew/home.html)
21:49:04	523/523	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2220b-6271b4544c900%22	https://blankc2.fun/japidi/dowodnew/ac001_services.svg	C:/Users/shibu/Desktop/PPs/`1221``12/blankc2.fun/japidi/dowodnew/ac001_services.svg	(from https://blankc2.fun/japidi/dowodnew/home.html)
